Page URL,Target URL,Exact Anchor,Found
https://abaialemi.kz/kz/post/view?id=1963,https://metaratings.ru/bonuses/promokody/,секретные промокоды букмекерских контор,Yes
https://resmihat.kz/documents/451,https://metaratings.ru/bonuses/winline-ru/promokody/,winline промокод,Error
https://www.prikol.ru/2026/01/29/zimnij-futbol-v-rossii-2026/,https://metaratings.ru/bonuses/winline-ru/promokody/,промокод винлайн,Yes
https://pressball.by/news/football/stalo-izvestno-kto-budet-glavnym-trenerom-chelsi-v-matche-s-manchester-siti/,https://metaratings.ru/bonuses/melbet/promokody/,мелбет промокод,Yes
https://abaialemi.kz/kz/post/view?id=1964,https://metaratings.by/bonuses/freebety/bezdepozitnye/,бездепозитный фрибет в бк,Yes
https://resmihat.kz/documents/436,https://metaratings.by/bonuses/marathonbet-by/promokody/,марафон бет промокоды,Error
https://www.prikol.ru/2026/01/29/futbolnaya-liga-2026-v-mobilnom-formate/,https://metaratings.by/bonuses/promokody/,промокод для букмекерской конторы,No
https://pressball.by/news/other/belorusskij-boets-andrej-orlovskij-vyrazil-gotovnost-podratsya-s-nachalnikom-ohrany-izvestnogo-amerikanskogo-prankera/,https://metaratings.by/bonuses/promokody/,промокоды букмекеры,Yes
https://abaialemi.kz/kz/post/view?id=1965,https://meta-ratings.kz/bonuses/bezdepozitnye/,бездепозитный бонус,Yes
https://resmihat.kz/documents/441,https://meta-ratings.kz/bonuses/bezdepozitnye/,бонус за регистрацию без депозита с выводом,Error
https://www.prikol.ru/2026/01/29/turniry-bolshogo-tennisa-v-stranax-sng-2026/,https://meta-ratings.kz/bonuses/bezdepozitnye/,бездепозитный бонус за регистрацию,Yes
https://pressball.by/news/other/nikolaj-valuev-vystupil-kategoricheski-protiv-piva-na-stadionah-sport-i-alkogol-nesovmestimy/,https://meta-ratings.kz/bonuses/bezdepozitnye/,бездепозитные бонусы,Yes
